strategy_types,lookback_period,rsi_window,ma_window,rebalance_period,num_stocks,portfolio_type,combine_method,Total Return,Annual Return,Volatility,Sharpe Ratio,Max Drawdown,strategy_name
"['momentum', 'rsi', 'ma_crossover']",252,14,100,5,3,long,or,0.2860071593497431,0.04934656769412227,0.10900859022321818,0.4526851286955892,-0.22624247023898614,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'rsi', 'ma_crossover']",252,14,20,21,10,long,or,0.3057000274835113,0.052404705574810695,0.11579285340216833,0.4525728836891187,-0.21787125901660565,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'rsi', 'ma_crossover']",252,10,20,5,3,long,or,0.3350892057565682,0.0568999668795076,0.12573453605518548,0.45254047666373814,-0.2439054244309149,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'rsi', 'ma_crossover']",126,10,100,5,3,long_short,and,0.1959288172636331,0.031762103816100895,0.0701910800622118,0.45250911922069714,-0.13794321444377222,"momentum, rsi, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",126,21,20,42,10,long_short,and,0.18057393378797992,0.029434715731017747,0.06506852829318328,0.4523648606034538,-0.09548788085451232,"momentum, rsi, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",252,10,10,21,5,long_short,or,0.255240961007865,0.044492172944849084,0.09836994048597963,0.4522943973031113,-0.20916573087122936,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'rsi', 'ma_crossover']",252,5,10,42,5,long_short,and,0.3090453407415632,0.05292049384080544,0.1170278799071724,0.4522041575288082,-0.1697443258329734,"momentum, rsi, ma_crossover (AND)"
"['rsi', 'ma_crossover']",252,10,50,42,10,long,and,0.48131341782287373,0.0674037981004263,0.14908740635816103,0.45210926762317116,-0.2542337937866672,"rsi, ma_crossover (AND)"
"['momentum', 'ma_crossover']",63,14,100,42,5,long_short,and,0.36156555182160677,0.05440958029135623,0.12036821651175428,0.452026140023791,-0.21486262324311944,"momentum, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",21,21,50,21,3,long,or,0.3503721903196797,0.05112970593942601,0.11312007609977803,0.45199497474106043,-0.200733255370401,"momentum, rsi, ma_crossover (OR)"
"['rsi', 'ma_crossover']",252,10,20,5,3,long_short,and,0.08833779759840277,0.013875877716676976,0.030704831698410037,0.4519118636756931,-0.0820727695856458,"rsi, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",126,5,20,42,5,long_short,and,0.36556054041844965,0.055957831129386904,0.12386544529612963,0.45176304816574536,-0.2356872707390505,"momentum, rsi, ma_crossover (AND)"
"['rsi', 'ma_crossover']",252,14,10,21,10,long,or,0.4584242819850608,0.06310403221263106,0.1398495468747243,0.45122800625989123,-0.298129923290236,"rsi, ma_crossover (OR)"
"['momentum', 'rsi', 'ma_crossover']",252,14,10,21,5,long,or,0.31779468930410104,0.05426446809628804,0.12049801092679086,0.4503349696722934,-0.22751014601767794,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'rsi', 'ma_crossover']",252,14,50,5,5,long,and,0.5305924679472838,0.0849223135717081,0.18858130166697726,0.45032202461766635,-0.33561061785851853,"momentum, rsi, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",21,10,100,21,3,long_short,or,0.1460572339466688,0.02367826057602973,0.052588885313136303,0.4502521860853187,-0.10719001667380779,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'rsi']",252,10,50,5,10,long,or,0.27089330811193957,0.04697372753599338,0.10434591082914975,0.4501731516140156,-0.20784584058760003,"momentum, rsi (OR)"
"['momentum', 'rsi']",126,10,50,5,5,long_short,and,0.12901374423071021,0.021432269128045744,0.04761612848832626,0.4501052439259138,-0.08858004668951747,"momentum, rsi (AND)"
"['momentum', 'ma_crossover']",126,14,20,21,3,long,or,0.6379462914627074,0.09006005548527951,0.20025061145332268,0.4497367315468698,-0.30804597245286847,"momentum, ma_crossover (OR)"
"['momentum', 'rsi', 'ma_crossover']",252,21,20,42,3,short,and,0.2574220960941509,0.044839469477697236,0.09971433850845379,0.44967925524467817,-0.23011536120722142,"momentum, rsi, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",126,10,50,42,10,long,and,0.6980267900682662,0.09694406401404754,0.2155950034145634,0.4496582132176584,-0.35120748099948873,"momentum, rsi, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",252,5,50,21,5,long,or,0.3781167317713192,0.06333911150403959,0.14089016983002178,0.4495637387651362,-0.22063643961862522,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'ma_crossover']",252,14,100,5,10,long,and,0.6658712747288795,0.10266090731356603,0.22852063208993578,0.44924130646183036,-0.37757726039665107,"momentum, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",252,14,20,5,5,long,and,0.5047853878537587,0.08139533372322605,0.1812586810601664,0.44905619552758386,-0.3013062481302431,"momentum, rsi, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",63,21,10,42,3,long_short,or,0.13332253548895445,0.021177072092330995,0.047182181249942695,0.44883622442437876,-0.07587025593386199,"momentum, rsi, ma_crossover (OR)"
